Date Filed,Landlord Tenant,Ground,Petition Number,Street Address Number,Street Address Street,Street Address Suffix,Location 1
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050062,631,Font,Boulevard,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050065,1017,Ocean,Avenue,"San Francisco, CA 94112
(37.72034999985277, -122.44219999983)"
01/27/2005 12:00:00 AM,Landlord,Capital Improvements,L050105,337,22nd,Avenue,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
01/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050112,216,Mallorca,Way,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
01/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050118,754,Fell,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
01/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050122,2350,Filbert,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
01/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050125,830,Sutter,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
01/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050126,830,Sutter,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
02/04/2005 12:00:00 AM,Landlord,Capital Improvements,L050143,1660,11th,Avenue,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
02/04/2005 12:00:00 AM,Landlord,Capital Improvements,L050146,1268,5th,Avenue,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
02/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050155,1114,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
02/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050156,588,Guerrero,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
02/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050157,70,Liberty,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
02/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050158,70,Liberty,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
02/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050159,58,Liberty,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
02/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050160,58,Liberty,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
02/16/2005 12:00:00 AM,Landlord,Capital Improvements,L050168,2338,Jones,Street,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
02/16/2005 12:00:00 AM,Landlord,Capital Improvements,L050170,850,Presidio,Avenue,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
02/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050179,1000,Masonic,Avenue,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
02/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050180,1351,Broadway,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
02/22/2005 12:00:00 AM,Landlord,Capital Improvements,L050184,668,Waller,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
02/24/2005 12:00:00 AM,Landlord,Capital Improvements,L050197,1955,Franklin,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
02/24/2005 12:00:00 AM,Landlord,Capital Improvements,L050200,1740,beach,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
02/28/2005 12:00:00 AM,Landlord,Capital Improvements,L050210,508,Scott,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
02/24/2005 12:00:00 AM,Landlord,Capital Improvements,L050219,435,Powell,Street,"San Francisco, CA 94102
(37.78068999994372, -122.41736999962563)"
02/24/2005 12:00:00 AM,Landlord,Capital Improvements,L050224,700,12th,Avenue,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
02/28/2005 12:00:00 AM,Landlord,Capital Improvements,L050226,1060,Pine,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
03/08/2005 12:00:00 AM,Landlord,Capital Improvements,L050272,1280,Pine,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
03/09/2005 12:00:00 AM,Landlord,Capital Improvements,L050274,2283,42nd,Avenue,"San Francisco, CA 94116
(37.743519999948205, -122.48607000033013)"
03/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050279,100,Capra,Way,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
03/16/2005 12:00:00 AM,Landlord,Capital Improvements,L050283,1596,Guerrero,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
03/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050296,4204,Mission,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
03/23/2005 12:00:00 AM,Landlord,Capital Improvements,L050321,1417,16th,Avenue,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
03/22/2005 12:00:00 AM,Landlord,Capital Improvements,L050322,2548,Sutter,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
03/23/2005 12:00:00 AM,Landlord,Capital Improvements,L050323,26,Belvedere,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
03/22/2005 12:00:00 AM,Landlord,Capital Improvements,L050324,4204,Mission,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
03/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050332,52,Camp,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
03/31/2005 12:00:00 AM,Landlord,Capital Improvements,L050344,668,Waller,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
03/31/2005 12:00:00 AM,Landlord,Capital Improvements,L050346,6,Sanchez,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
04/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050392,1647,17th,Avenue,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
04/08/2005 12:00:00 AM,Landlord,Capital Improvements,L050397,1770,Broadway,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
04/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050400,1725,Chestnut,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
04/15/2005 12:00:00 AM,Landlord,Capital Improvements,L050411,1725,Chestnut ,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
04/20/2005 12:00:00 AM,Landlord,Capital Improvements,L050420,3933,Mission,Street,"San Francisco, CA 94112
(37.72034999985277, -122.44219999983)"
04/22/2005 12:00:00 AM,Landlord,Capital Improvements,L050436,3130,Broderick,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
04/22/2005 12:00:00 AM,Landlord,Capital Improvements,L050450,4340,Anza,Street,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
04/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050451,206,Dorland,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
04/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050452,3300,26th,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050453,128,Garces,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050454,124,Cambon,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050455,25,Serrano,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050456,535,Gonzalez,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050457,25,Diaz,Avenue,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050458,106,Crespi,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050459,516,Gonzalez,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
04/27/2005 12:00:00 AM,Landlord,Capital Improvements,L050491,865,San Jose,Avenue,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
04/27/2005 12:00:00 AM,Landlord,Capital Improvements,L050498,164,Valley,Street,"San Francisco, CA 94131
(37.74553999957146, -122.43983000025418)"
04/28/2005 12:00:00 AM,Landlord,Capital Improvements,L050499,1529,Oak,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
04/29/2005 12:00:00 AM,Landlord,Capital Improvements,L050503,2671,21st,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
04/29/2005 12:00:00 AM,Landlord,Capital Improvements,L050504,1753,Greenwich,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
05/02/2005 12:00:00 AM,Landlord,Capital Improvements,L050508,860,North Point,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
05/04/2005 12:00:00 AM,Landlord,Capital Improvements,L050518,3362,16th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
05/05/2005 12:00:00 AM,Landlord,Capital Improvements,L050521,46,Annapolis,Terrace,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
05/11/2005 12:00:00 AM,Landlord,Capital Improvements,L050539,2225,Pine,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
05/06/2005 12:00:00 AM,Landlord,Capital Improvements,L050540,3258,Harrison,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
05/12/2005 12:00:00 AM,Landlord,Capital Improvements,L050552,455,Cole,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
05/20/2005 12:00:00 AM,Landlord,Capital Improvements,L050596,1000,Chestnut,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
05/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050597,3536,17th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
05/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050598,1155,Hayes,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
05/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050599,446,Vallejo,Street,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
05/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050600,440,Vallejo,Street,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
05/23/2005 12:00:00 AM,Landlord,Capital Improvements,L050601,654,Edinburgh,Street,"San Francisco, CA 94112
(37.72034999985277, -122.44219999983)"
05/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050614,301,Jersey,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
05/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050616,522,Fell,Street,"San Francisco, CA 94102
(37.78068999994372, -122.41736999962563)"
05/27/2005 12:00:00 AM,Landlord,Capital Improvements,L050622,1606,Church,Street,"San Francisco, CA 94131
(37.74553999957146, -122.43983000025418)"
06/02/2005 12:00:00 AM,Landlord,Capital Improvements,L050640,722,Taylor,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
06/06/2005 12:00:00 AM,Landlord,Capital Improvements,L050663,500,9th,Avenue,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
06/06/2005 12:00:00 AM,Landlord,Capital Improvements,L050664,2828,Webster,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
06/08/2005 12:00:00 AM,Landlord,Capital Improvements,L050670,610,Hyde,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
04/10/2005 12:00:00 AM,Landlord,Capital Improvements,L050699,1499,Union,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
06/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050701,503,29th,Avenue,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
06/14/2005 12:00:00 AM,Landlord,Capital Improvements,L050702,201,11th,Avenue,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
06/16/2005 12:00:00 AM,Landlord,Capital Improvements,L050703,1044,Pine,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
06/16/2005 12:00:00 AM,Landlord,Capital Improvements,L050704,3631,19th,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
06/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050718,878,Haight,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
06/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050719,939,Clay,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
06/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050729,937,Clay,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
06/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050730,1749,Polk,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
06/22/2005 12:00:00 AM,Landlord,Capital Improvements,L050758,3819,18th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
06/24/2005 12:00:00 AM,Landlord,Capital Improvements,L050762,2775,Market,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
06/29/2005 12:00:00 AM,Landlord,Capital Improvements,L050811,1471,Jackson,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
07/01/2005 12:00:00 AM,Landlord,Capital Improvements,L050812,1710,35th,Avenue,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
07/01/2005 12:00:00 AM,Landlord,Capital Improvements,L050813,1055,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
07/01/2005 12:00:00 AM,Landlord,Capital Improvements,L050814,1055,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
07/11/2005 12:00:00 AM,Landlord,Capital Improvements,L050838,152,Jasper,Place,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
07/13/2005 12:00:00 AM,Landlord,Capital Improvements,L050839,1700,Bay,Street,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
07/13/2005 12:00:00 AM,Landlord,Capital Improvements,L050846,510,BAKER,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
07/13/2005 12:00:00 AM,Landlord,Capital Improvements,L050858,500,baker,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
07/13/2005 12:00:00 AM,Landlord,Capital Improvements,L050868,500,baker,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
07/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050869,2400,15th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
07/25/2005 12:00:00 AM,Landlord,Capital Improvements,L050892,2126,Pine,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
07/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050895,308,Filbert,Street,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
07/26/2005 12:00:00 AM,Landlord,Capital Improvements,L050896,3619,Lincoln,Way,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
07/27/2005 12:00:00 AM,Landlord,Capital Improvements,L050898,221,San Jose,Avenue,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
07/27/2005 12:00:00 AM,Landlord,Capital Improvements,L050909,959,Powell,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
07/29/2005 12:00:00 AM,Landlord,Capital Improvements,L050910,674,6th,Avenue,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
07/29/2005 12:00:00 AM,Landlord,Capital Improvements,L050911,541,Steiner,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
08/09/2005 12:00:00 AM,Landlord,Capital Improvements,L050962,3011,Noriega,Street,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
08/15/2005 12:00:00 AM,Landlord,Capital Improvements,L050981,895,24th,Avenue,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
08/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050985,4103,California,Street,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
08/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050989,652,Waller,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
08/17/2005 12:00:00 AM,Landlord,Capital Improvements,L050988,2128,Pine,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
08/24/2005 12:00:00 AM,Landlord,Capital Improvements,L051017,1831,Polk,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
08/24/2005 12:00:00 AM,Landlord,Capital Improvements,L051018,1749,Polk,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
08/24/2005 12:00:00 AM,Landlord,Capital Improvements,L051020,150,Haight,Street,"San Francisco, CA 94102
(37.78068999994372, -122.41736999962563)"
08/29/2005 12:00:00 AM,Landlord,Capital Improvements,L051028,1580,Jackson,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
08/29/2005 12:00:00 AM,Landlord,Capital Improvements,L051033,556,Lyon,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
08/31/2005 12:00:00 AM,Landlord,Capital Improvements,L051043,1055,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
09/06/2005 12:00:00 AM,Landlord,Capital Improvements,L051066,57,John,Street,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
09/09/2005 12:00:00 AM,Landlord,Capital Improvements,L051128,700,31st,Avenue,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
09/15/2005 12:00:00 AM,Landlord,Capital Improvements,L051129,2800,Anza,Street,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
09/16/2005 12:00:00 AM,Landlord,Capital Improvements,L051135,124,Waverly,Place,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
09/16/2005 12:00:00 AM,Landlord,Capital Improvements,L051136,124,Waverly,Place,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
09/26/2005 12:00:00 AM,Landlord,Capital Improvements,L051200,69,webster,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
09/26/2005 12:00:00 AM,Landlord,Capital Improvements,L051201,2213,Market,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
09/30/2005 12:00:00 AM,Landlord,Capital Improvements,L051202,1345,Sacramento,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
09/27/2005 12:00:00 AM,Landlord,Capital Improvements,L051203,32,Cervantes,Boulevard,"San Francisco, CA 94123
(37.80002999968491, -122.43532000001784)"
09/30/2005 12:00:00 AM,Landlord,Capital Improvements,L051204,2663,California,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
10/11/2005 12:00:00 AM,Landlord,Capital Improvements,L051281,325,19th,Avenue,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
10/13/2005 12:00:00 AM,Landlord,Capital Improvements,L051282,1160,Clay,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
10/19/2005 12:00:00 AM,Landlord,Capital Improvements,L051284,2801,Sacramento,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
10/18/2005 12:00:00 AM,Landlord,Capital Improvements,L051285,224,Liberty,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
10/18/2005 12:00:00 AM,Landlord,Capital Improvements,L051286,700,31st,Avenue,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
10/20/2005 12:00:00 AM,Landlord,Capital Improvements,L051334,2270,Market,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
10/25/2005 12:00:00 AM,Landlord,Capital Improvements,L051335,3745,24th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
10/25/2005 12:00:00 AM,Landlord,Capital Improvements,L051336,1266,DeHaro,Street,"San Francisco, CA 94107
(37.75719713513985, -122.39098000032658)"
10/25/2005 12:00:00 AM,Landlord,Capital Improvements,L051346,833,Jones,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
10/26/2005 12:00:00 AM,Landlord,Capital Improvements,L051347,1749,Polk,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
10/26/2005 12:00:00 AM,Landlord,Capital Improvements,L051348,2400,15th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
10/28/2005 12:00:00 AM,Landlord,Capital Improvements,L051349,5700,California,Street,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
10/28/2005 12:00:00 AM,Landlord,Capital Improvements,L051350,5700,California,Street,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
11/04/2005 12:00:00 AM,Landlord,Capital Improvements,L051390,1267,Oak,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
11/08/2005 12:00:00 AM,Landlord,Capital Improvements,L051420,5235,Diamond Heights,Boulevard,"San Francisco, CA 94131
(37.74553999957146, -122.43983000025418)"
11/07/2005 12:00:00 AM,Landlord,Capital Improvements,L051441,1514,Waller,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
11/10/2005 12:00:00 AM,Landlord,Capital Improvements,L051442,311,Lincoln,Way,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
11/18/2005 12:00:00 AM,Landlord,Capital Improvements,L051449,515,Belvedere,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
11/20/2005 12:00:00 AM,Landlord,Capital Improvements,L051450,1025,Sanchez,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
11/21/2005 12:00:00 AM,Landlord,Capital Improvements,L051472,1322,16th,Avenue,"San Francisco, CA 94122
(37.760180000207015, -122.48148000000185)"
11/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051486,1485,Church,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
11/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051487,754,Fell,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
11/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051498,3256,21st,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
12/01/2005 12:00:00 AM,Landlord,Capital Improvements,L051500,842,ELIZABETH,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
12/08/2005 12:00:00 AM,Landlord,Capital Improvements,L051552,2400,15th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
12/13/2005 12:00:00 AM,Landlord,Capital Improvements,L051554,1038,Page,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
12/20/2005 12:00:00 AM,Landlord,Capital Improvements,L051566,1925,Pierce,Street,"San Francisco, CA 94115
(37.7856999998553, -122.4360899995537)"
12/20/2005 12:00:00 AM,Landlord,Capital Improvements,L051567,3652,Mission,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
12/21/2005 12:00:00 AM,Landlord,Capital Improvements,L051572,1935,Clay,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
12/21/2005 12:00:00 AM,Landlord,Capital Improvements,L051575,1935,Clay,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
12/27/2005 12:00:00 AM,Landlord,Capital Improvements,L051610,130,Eureka,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
12/28/2005 12:00:00 AM,Landlord,Capital Improvements,L051611,1055,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
12/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051612,1019,Union,Street,"San Francisco, CA 94133
(37.80076000007409, -122.4103400000908)"
12/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051613,1040,Vicente,Street,"San Francisco, CA 94116
(37.743519999948205, -122.48607000033013)"
12/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051614,4443,20th,Street,"San Francisco, CA 94114
(37.75922999956498, -122.43480000031963)"
12/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051615,2124,Hyde,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
12/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051616,2124,Hyde,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
12/23/2005 12:00:00 AM,Landlord,Capital Improvements,L051617,1167,Bush,Street,"San Francisco, CA 94109
(37.79142000013309, -122.42002000042254)"
12/28/2005 12:00:00 AM,Landlord,Capital Improvements,L051623,1055,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
12/30/2005 12:00:00 AM,Landlord,Capital Improvements,L051624,4042,California,Street,"San Francisco, CA 94118
(37.78198999963894, -122.46046000012876)"
01/03/2006 12:00:00 AM,Landlord,Capital Improvements,L060005,1915,Fulton,Street,"San Francisco, CA 94117
(37.771200000279975, -122.44240999962165)"
